bp	normalized
219	3.2144901939853854e-05
30	1.3343166842958204e-05
202	0.00023229240458422692
243	5.4585682539374474e-06
344	5.4585682539374474e-06
383	1.5162689594270687e-06
289	5.155314462052034e-06
360	3.639045502624965e-06
314	9.704121340333239e-06
410	3.032537918854137e-07
354	4.245553086395792e-06
287	5.155314462052034e-06
240	6.368329629593688e-06
221	2.6383079894030995e-05
211	8.066550864152006e-05
306	8.794359964676999e-06
320	8.187852380906172e-06
309	9.400867548447826e-06
227	1.4859435802385273e-05
341	5.761822045822861e-06
329	9.400867548447826e-06
29	1.0917136507874895e-05
232	1.061388271598948e-05
31	1.455618201049986e-05
209	0.00010219652786538443
404	6.065075837708274e-07
225	1.8801735096895652e-05
313	1.061388271598948e-05
350	4.548806878281206e-06
362	3.0325379188541373e-06
226	1.6072450969926927e-05
343	5.155314462052034e-06
332	7.27809100524993e-06
335	7.27809100524993e-06
199	0.00034328329241428837
369	2.7292841269687237e-06
213	6.338004250405147e-05
378	2.4260303350833097e-06
401	9.097613756562412e-07
248	4.548806878281206e-06
220	3.244815573173927e-05
205	0.00015708546419664432
435	3.032537918854137e-07
235	8.794359964676999e-06
290	5.4585682539374474e-06
417	3.032537918854137e-07
233	1.0917136507874895e-05
330	7.27809100524993e-06
244	5.4585682539374474e-06
277	3.9422992945103786e-06
352	4.548806878281206e-06
381	1.8195227513124825e-06
294	6.671583421479102e-06
222	2.3350541975176857e-05
230	1.213015167541655e-05
257	3.9422992945103786e-06
261	3.335791710739551e-06
337	6.671583421479102e-06
433	3.032537918854137e-07
466	3.032537918854137e-07
272	3.335791710739551e-06
210	9.582819823579074e-05
284	4.548806878281206e-06
301	7.884598589020757e-06
274	4.245553086395792e-06
271	3.639045502624965e-06
269	3.335791710739551e-06
300	8.794359964676999e-06
223	2.3350541975176857e-05
357	3.639045502624965e-06
260	3.639045502624965e-06
373	2.7292841269687237e-06
33	2.517006472648934e-05
393	9.097613756562412e-07
254	4.245553086395792e-06
418	3.032537918854137e-07
336	6.671583421479102e-06
443	3.032537918854137e-07
27	4.245553086395792e-06
256	4.548806878281206e-06
263	3.639045502624965e-06
347	6.065075837708275e-06
438	3.032537918854137e-07
426	3.032537918854137e-07
292	5.4585682539374474e-06
338	7.27809100524993e-06
237	7.27809100524993e-06
253	3.9422992945103786e-06
228	1.455618201049986e-05
288	5.4585682539374474e-06
422	3.032537918854137e-07
251	4.245553086395792e-06
334	6.974837213364516e-06
311	9.704121340333239e-06
267	3.639045502624965e-06
324	8.187852380906172e-06
356	3.335791710739551e-06
382	1.8195227513124825e-06
321	9.400867548447826e-06
379	2.122776543197896e-06
266	3.335791710739551e-06
245	6.065075837708275e-06
250	4.245553086395792e-06
368	3.0325379188541373e-06
236	7.884598589020757e-06
394	9.097613756562412e-07
434	3.032537918854137e-07
208	0.00012190802433793631
315	1.0310628924104068e-05
255	3.9422992945103786e-06
346	4.852060670166619e-06
247	4.548806878281206e-06
363	3.335791710739551e-06
246	5.155314462052034e-06
