bp	count	normalized	reference
95	84854	0.00613295843943839	0.002038709682660623
119	58778	0.004248273872219456	0.0019685051245955025
183	29426	0.002126811170232565	0.00690884074701913
188	21080	0.0015235906840380096	0.005145892685233246
83	93673	0.006770365756446513	0.0020275296533829278
67	101534	0.007338532092652527	0.0018383688806026957
185	24469	0.0017685360743703064	0.006060562921797707
126	67399	0.004871370422840504	0.003985093579578531
204	7199	0.000520319228386605	0.0017518121969254472
76	89283	0.006453071491601785	0.0016421776757171668
258	1150	8.311808760169407e-05	0.00020134343437854094
120	58939	0.0042599104044836935	0.0021004219521164927
49	152783	0.011042635459173588	0.0021005112814394267
121	57902	0.00418495957244634	0.0022855414663271807
68	99510	0.007192244258473546	0.0018269437316628687
199	9583	0.0006926266378148125	0.0024392575071824516
90	74569	0.005389593629887587	0.0015874355232077494
84	92926	0.006716375137804369	0.002004516704672075
134	69425	0.005017802810215314	0.005198637291154938
186	23305	0.001684406114397809	0.005752916878492873
148	81370	0.005881146772304215	0.010845359041762872
180	39484	0.002853769192056773	0.00911265360091501
149	79346	0.0057348589381252335	0.010877083957753936
79	83778	0.0060551888200823705	0.0016426975009131855
135	74754	0.005402964800501773	0.0060504032477782955
78	85112	0.0061516058017003356	0.001603955873800827
463	428	3.09343839074131e-05	4.519263349737518e-05
170	79965	0.005779598152234319	0.017470945510153376
109	64976	0.0046962442260936295	0.0018502662600752822
224	2825	0.00020418138910850936	0.000530993219435446
129	56438	0.004079146633099487	0.0028234855075753252
63	115527	0.008349898527270357	0.0021164779331572293
208	6012	0.0004345269066620737	0.0013809068432184403
141	75163	0.005432525929048811	0.007675362946621998
156	83517	0.006036324628026682	0.013639640435376878
89	74727	0.005401013332358081	0.0015029812944750806
91	76875	0.005556263464678463	0.0016512568222463663
101	71336	0.005155923388829955	0.0018419137539905587
168	89974	0.006503014620760716	0.019972148972300492
110	64184	0.0046390011605453325	0.0018778838852612893
112	65357	0.004723781609899061	0.0019777303424335646
136	78651	0.005684626702574644	0.006845863860204346
106	70231	0.005076057748134415	0.0019275306931905393
96	78548	0.005677182212989449	0.0018613901190747168
181	34368	0.002484002117126106	0.008208818653905176
189	19841	0.0014340399792219236	0.0048044684378521114
195	12706	0.0009183464531018478	0.0030476013446639216
33	7577	0.0005476397823982921	0.00022794885114051588
98	72381	0.005231452433650625	0.0016458104491587967
173	62900	0.004546198008823094	0.0140959121773989
